Title,Authors,Year,Source title,Cited by,Link,Document Type,Reg_or_Class,author_outcome,Type_of_NN,SJR_best_quartile,SJR_4_areas,sample_size,num_predictors,num_hidden_layers,hidden_layer_1,hidden_layer_2,hidden_layer_3,hidden_layer_4,hidden_layer_5,NN_complexity,RMSE_NN,RMSE_GAM,R2_NN,R2_GAM,AUC_NN,AUC_GAM
Modeling Current and Future Distribution of Cochlodina laminata in Eastern Europe under Climate Change,Adamova V.V.; Ukrainskiy P.A.,2023,Diversity,0,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85178163337&doi=10.3390%2fd15111155&partnerID=40&md5=de2815ac5d20a0dd05d25c2747d01b09,Article,Class,Both,MLP,Q1,Environmental & Agricultural Sciences,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.877,0.875
Evaluation of modelling techniques for forest site productivity prediction in contrasting ecoregions using stochastic multicriteria acceptability analysis (SMAA),Aertsen W.; Kint V.; Van Orshoven J.; Muys B.,2011,Environmental Modelling and Software,71,https://www.scopus.com/inward/record.uri?eid=2-s2.0-79953120983&doi=10.1016%2fj.envsoft.2011.01.003&partnerID=40&md5=295973e809facc311783ead53956d1e3,Article,Reg,NN,MLP,Q1,Engineering & Computer Science,76,6,1,NA,NA,NA,NA,NA,NA,2.97,3.26,0.43,0.32,NA,NA
Evaluation of modelling techniques for forest site productivity prediction in contrasting ecoregions using stochastic multicriteria acceptability analysis (SMAA),Aertsen W.; Kint V.; Van Orshoven J.; Muys B.,2011,Environmental Modelling and Software,71,https://www.scopus.com/inward/record.uri?eid=2-s2.0-79953120983&doi=10.1016%2fj.envsoft.2011.01.003&partnerID=40&md5=295973e809facc311783ead53956d1e3,Article,Reg,GAM,MLP,Q1,Engineering & Computer Science,55,9,1,NA,NA,NA,NA,NA,NA,2.8,2.96,0.6,0.57,NA,NA
Evaluation of modelling techniques for forest site productivity prediction in contrasting ecoregions using stochastic multicriteria acceptability analysis (SMAA),Aertsen W.; Kint V.; Van Orshoven J.; Muys B.,2011,Environmental Modelling and Software,71,https://www.scopus.com/inward/record.uri?eid=2-s2.0-79953120983&doi=10.1016%2fj.envsoft.2011.01.003&partnerID=40&md5=295973e809facc311783ead53956d1e3,Article,Reg,GAM,MLP,Q1,Engineering & Computer Science,353,NA,1,NA,NA,NA,NA,NA,NA,2.98,3.25,0.76,0.58,NA,NA
Evaluation of modelling techniques for forest site productivity prediction in contrasting ecoregions using stochastic multicriteria acceptability analysis (SMAA),Aertsen W.; Kint V.; Van Orshoven J.; Muys B.,2011,Environmental Modelling and Software,71,https://www.scopus.com/inward/record.uri?eid=2-s2.0-79953120983&doi=10.1016%2fj.envsoft.2011.01.003&partnerID=40&md5=295973e809facc311783ead53956d1e3,Article,Reg,GAM,MLP,Q1,Engineering & Computer Science,55,6,1,NA,NA,NA,NA,NA,NA,2.48,2.66,0.66,0.6,NA,NA
Comparison and ranking of different modelling techniques for prediction of site index in Mediterranean mountain forests,Aertsen W.; Kint V.; van Orshoven J.; Özkan K.; Muys B.,2010,Ecological Modelling,337,https://www.scopus.com/inward/record.uri?eid=2-s2.0-77349088324&doi=10.1016%2fj.ecolmodel.2010.01.007&partnerID=40&md5=da91f768637c0d69745c8b21bc2b69ab,Article,Reg,GAM,MLP,Q1,Environmental & Agricultural Sciences,56,4,1,NA,NA,NA,NA,NA,NA,3.64,3.95,0.42,0.3,NA,NA
Comparison and ranking of different modelling techniques for prediction of site index in Mediterranean mountain forests,Aertsen W.; Kint V.; van Orshoven J.; Özkan K.; Muys B.,2010,Ecological Modelling,337,https://www.scopus.com/inward/record.uri?eid=2-s2.0-77349088324&doi=10.1016%2fj.ecolmodel.2010.01.007&partnerID=40&md5=da91f768637c0d69745c8b21bc2b69ab,Article,Reg,GAM,MLP,Q1,Environmental & Agricultural Sciences,46,6,1,NA,NA,NA,NA,NA,NA,3.12,3.32,0.42,0.33,NA,NA
Comparison and ranking of different modelling techniques for prediction of site index in Mediterranean mountain forests,Aertsen W.; Kint V.; van Orshoven J.; Özkan K.; Muys B.,2010,Ecological Modelling,337,https://www.scopus.com/inward/record.uri?eid=2-s2.0-77349088324&doi=10.1016%2fj.ecolmodel.2010.01.007&partnerID=40&md5=da91f768637c0d69745c8b21bc2b69ab,Article,Reg,GAM,MLP,Q1,Environmental & Agricultural Sciences,65,6,1,NA,NA,NA,NA,NA,NA,2.86,3.36,0.6,0.43,NA,NA
Energy availability and leaf area dominate control of ecosystem evapotranspiration in the southeastern U.S.,Aguilos M.; Sun G.; Liu N.; Zhang Y.; Starr G.; Oishi A.C.; O'Halloran T.L.; Forsythe J.; Wang J.; Zhu M.; Amatya D.; Baniya B.; McNulty S.; Noormets A.; King J.,2024,Agricultural and Forest Meteorology,0,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85187157439&doi=10.1016%2fj.agrformet.2024.109960&partnerID=40&md5=bfcc7df0fc8b95aed731f3c146895652,Article,Reg,NN,MLP,Q1,Environmental & Agricultural Sciences,NA,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Energy availability and leaf area dominate control of ecosystem evapotranspiration in the southeastern U.S.,Aguilos M.; Sun G.; Liu N.; Zhang Y.; Starr G.; Oishi A.C.; O'Halloran T.L.; Forsythe J.; Wang J.; Zhu M.; Amatya D.; Baniya B.; McNulty S.; Noormets A.; King J.,2024,Agricultural and Forest Meteorology,0,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85187157439&doi=10.1016%2fj.agrformet.2024.109960&partnerID=40&md5=bfcc7df0fc8b95aed731f3c146895652,Article,Reg,NN,MLP,Q1,Environmental & Agricultural Sciences,NA,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
